Datetime,Water Level (m)
2024-09-15 06:00:00,-7.001
2024-09-15 07:00:00,-7.001
2024-09-15 08:00:00,-7.001
2024-09-15 09:00:00,0.19619107
2024-09-15 10:00:00,0.18980062
2024-09-15 11:00:00,0.19259359
2024-09-15 12:00:00,0.20842123
2024-09-15 13:00:00,0.21491492
2024-09-15 14:00:00,0.22656016
2024-09-15 15:00:00,0.23876005
2024-09-15 16:00:00,0.25127745
2024-09-15 17:00:00,0.26088625
2024-09-15 18:00:00,0.26639473
2024-09-15 19:00:00,0.2718458
2024-09-15 20:00:00,0.27710462
2024-09-15 21:00:00,0.28358003
2024-09-15 22:00:00,0.29124808
2024-09-15 23:00:00,0.30196103
2024-09-16 00:00:00,0.31520787
2024-09-16 01:00:00,0.32930645
2024-09-16 02:00:00,0.3428288
2024-09-16 03:00:00,0.35504255
2024-09-16 04:00:00,0.36628103
2024-09-16 05:00:00,0.37510654
2024-09-16 06:00:00,0.38093293
2024-09-16 07:00:00,0.39886954
2024-09-16 08:00:00,0.42749748
2024-09-16 09:00:00,0.45988458
2024-09-16 10:00:00,0.49363154
2024-09-16 11:00:00,0.52981716
2024-09-16 12:00:00,0.5693098
2024-09-16 13:00:00,0.610056
2024-09-16 14:00:00,0.6508143
2024-09-16 15:00:00,0.6899942
2024-09-16 16:00:00,0.7258389
2024-09-16 17:00:00,0.75335836
2024-09-16 18:00:00,0.7840428
2024-09-16 19:00:00,0.8124764
2024-09-16 20:00:00,0.83933574
2024-09-16 21:00:00,0.86685365
2024-09-16 22:00:00,0.89762074
2024-09-16 23:00:00,0.9324604
2024-09-17 00:00:00,0.97118056
2024-09-17 01:00:00,1.0125984
2024-09-17 02:00:00,1.0541449
2024-09-17 03:00:00,1.0939839
2024-09-17 04:00:00,1.1319901
2024-09-17 05:00:00,1.1680568
2024-09-17 06:00:00,1.2022092
2024-09-17 07:00:00,1.2346562
2024-09-17 08:00:00,1.2659017
2024-09-17 09:00:00,1.2969581
2024-09-17 10:00:00,1.3299091
2024-09-17 11:00:00,1.3658929
2024-09-17 12:00:00,1.4050497
2024-09-17 13:00:00,1.4463449
2024-09-17 14:00:00,1.4880397
2024-09-17 15:00:00,1.5272137
2024-09-17 16:00:00,1.5620232
2024-09-17 17:00:00,1.593726
2024-09-17 18:00:00,1.6221613
2024-09-17 19:00:00,1.6475772
2024-09-17 20:00:00,1.6701549
2024-09-17 21:00:00,1.6906322
2024-09-17 22:00:00,1.7110598
2024-09-17 23:00:00,1.7333627
2024-09-18 00:00:00,1.7578707
2024-09-18 01:00:00,1.7850171
2024-09-18 02:00:00,1.8137507
2024-09-18 03:00:00,1.8419439
2024-09-18 04:00:00,1.8644863
2024-09-18 05:00:00,1.8845125
2024-09-18 06:00:00,1.90015
2024-09-18 07:00:00,1.9149373
2024-09-18 08:00:00,1.929555
2024-09-18 09:00:00,1.9415474
2024-09-18 10:00:00,1.9537184
2024-09-18 11:00:00,1.9646297
2024-09-18 12:00:00,1.9775635
2024-09-18 13:00:00,1.9926434
2024-09-18 14:00:00,2.009922
2024-09-18 15:00:00,2.0278351
2024-09-18 16:00:00,2.048486
2024-09-18 17:00:00,2.070081
2024-09-18 18:00:00,2.0906606
2024-09-18 19:00:00,2.1110072
2024-09-18 20:00:00,2.129864
2024-09-18 21:00:00,2.1468637
2024-09-18 22:00:00,2.1622276
2024-09-18 23:00:00,2.1708345
2024-09-19 00:00:00,2.1921468
2024-09-19 01:00:00,2.2044888
2024-09-19 02:00:00,2.2267668
2024-09-19 03:00:00,2.250589
2024-09-19 04:00:00,2.2737105
2024-09-19 05:00:00,2.295086
2024-09-19 06:00:00,2.3133855
2024-09-19 07:00:00,2.3282769
2024-09-19 08:00:00,2.3405395
2024-09-19 09:00:00,2.3502283
2024-09-19 10:00:00,2.357976
2024-09-19 11:00:00,2.3664703
2024-09-19 12:00:00,2.377636
2024-09-19 13:00:00,2.3868725
2024-09-19 14:00:00,2.3966331
2024-09-19 15:00:00,2.4174623
2024-09-19 16:00:00,2.435338
2024-09-19 17:00:00,2.4512246
2024-09-19 18:00:00,2.4651375
2024-09-19 19:00:00,2.4768686
2024-09-19 20:00:00,2.4868882
2024-09-19 21:00:00,2.4952235
2024-09-19 22:00:00,2.502071
2024-09-19 23:00:00,2.5087404
2024-09-20 00:00:00,2.5169187
2024-09-20 01:00:00,2.528437
2024-09-20 02:00:00,2.5431106
2024-09-20 03:00:00,2.5571365
2024-09-20 04:00:00,2.5716908
2024-09-20 05:00:00,2.585304
2024-09-20 06:00:00,2.5982168
2024-09-20 07:00:00,2.6097264
2024-09-20 08:00:00,2.6198308
2024-09-20 09:00:00,2.6284971
2024-09-20 10:00:00,2.6355674
2024-09-20 11:00:00,2.6420796
2024-09-20 12:00:00,2.6497462
2024-09-20 13:00:00,2.6598198
2024-09-20 14:00:00,2.6722016
2024-09-20 15:00:00,2.6862402
2024-09-20 16:00:00,2.6990285
2024-09-20 17:00:00,2.7026842
2024-09-20 18:00:00,2.7035646
2024-09-20 19:00:00,2.7166684
2024-09-20 20:00:00,2.7256167
2024-09-20 21:00:00,2.7332969
2024-09-20 22:00:00,2.7385967
2024-09-20 23:00:00,2.7427464
2024-09-21 00:00:00,2.7472577
2024-09-21 01:00:00,2.753885
2024-09-21 02:00:00,2.7631242
2024-09-21 03:00:00,2.7746263
2024-09-21 04:00:00,2.7866118
2024-09-21 05:00:00,2.7917633
2024-09-21 06:00:00,2.7924933
